content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative,rating_sentiment
buktikan kalau mudah dan cepat cair nya,5,2018-02-14,"['buktikan', 'mudah', 'cepat', 'cair', 'nya']",bukti mudah cepat cair nya,buktikan mudah cepat cair nya,2018-02,POSITIVE,1,0,POSITIVE
pinjaman tumai cepar acc saua sangat senang dengan satu ini maju terus indodana,5,2018-02-17,"['pinjaman', 'tumai', 'cepar', 'acc', 'saua', 'senang', 'maju', 'indodana']",pinjam tuma cepar acc saua senang maju indodana,pinjaman tumai cepar acc saua senang maju indodana,2018-02,POSITIVE,1,0,POSITIVE
baru juga masuk sudah dapat pemberitahuan mohon ajukan buln payah,1,2018-02-06,"['masuk', 'pemberitahuan', 'mohon', 'ajukan', 'buln', 'payah']",masuk beri mohon ajuk buln payah,masuk pemberitahuan mohon ajukan buln payah,2018-02,NEGATIVE,0,1,NEGATIVE
sudah lama tunggu acc jung ditolak payah,1,2018-02-01,"['tunggu', 'acc', 'jung', 'ditolak', 'payah']",tunggu acc jung tolak payah,tunggu acc jung ditolak payah,2018-02,NEGATIVE,0,1,NEGATIVE
sudah mmberikan ana segar untuk kebutuhan saya mrasa terbantu sekali bintang untuk indodana,5,2018-02-26,"['mmberikan', 'ana', 'segar', 'kebutuhan', 'mrasa', 'terbantu', 'bintang', 'indodana']",mmberikan ana segar butuh mrasa bantu bintang indodana,mmberikan ana segar kebutuhan mrasa terbantu bintang indodana,2018-02,POSITIVE,1,0,POSITIVE
mundur harus punya internet banking bisa sih pakai itu padahal tertarik sangat,2,2018-02-03,"['mundur', 'internet', 'banking', 'sih', 'pakai', 'tertarik']",mundur internet banking sih pakai tarik,mundur internet banking sih pakai tertarik,2018-02,NEGATIVE,0,1,NEGATIVE
kenapa surabaya tidak bisa cuma jakarta bogor depok tangerang bekasi saja,1,2018-03-23,"['surabaya', 'jakarta', 'bogor', 'depok', 'tangerang', 'bekasi']",surabaya jakarta bogor depok tangerang bekas,surabaya jakarta bogor depok tangerang bekasi,2018-03,NEGATIVE,0,1,NEGATIVE
hati sama acses email ane sembunyi maksudnya apa tolong tindak lanjuti,1,2018-03-13,"['hati', 'acses', 'email', 'ane', 'sembunyi', 'maksudnya', 'tolong', 'tindak', 'lanjuti']",hati acses email ane sembunyi maksud tolong tindak lanjut,hati acses email ane sembunyi maksudnya tolong tindak lanjuti,2018-03,NEGATIVE,0,1,NEGATIVE
area layanan diperluas dong biar lebih keren mantap,5,2018-03-03,"['area', 'layanan', 'diperluas', 'biar', 'keren', 'mantap']",area layan luas biar keren mantap,area layanan diperluas biar keren mantap,2018-03,POSITIVE,1,0,POSITIVE
saya tidak pakai internet banking dasar sampah tidak bisa membantu,1,2018-03-17,"['pakai', 'internet', 'banking', 'dasar', 'sampah', 'membantu']",pakai internet banking dasar sampah bantu,pakai internet banking dasar sampah membantu,2018-03,NEGATIVE,0,1,NEGATIVE
terima kasih semoga prosesnya cepat dan acc,5,2018-03-02,"['terima', 'kasih', 'semoga', 'prosesnya', 'cepat', 'acc']",terima kasih moga proses cepat acc,terima kasih semoga prosesnya cepat acc,2018-03,POSITIVE,1,0,POSITIVE
ibilang proses cepat tetapi saya ngajuin dari tanggal sampai tanggal masih saja belum ada jawaban,2,2018-03-22,"['ibilang', 'proses', 'cepat', 'ngajuin', 'tanggal', 'tanggal']",ibilang proses cepat ngajuin tanggal tanggal,ibilang proses cepat ngajuin tanggal tanggal,2018-03,NEGATIVE,0,1,NEGATIVE
saya kecewa dengan pinjaman ini proses lama sekali telepon pagi siang ini bilang bisa pengajuan,2,2018-03-26,"['kecewa', 'pinjaman', 'proses', 'telepon', 'pagi', 'siang', 'bilang', 'pengajuan']",kecewa pinjam proses telepon pagi siang bilang aju,kecewa pinjaman proses telepon pagi siang bilang pengajuan,2018-03,NEGATIVE,0,1,NEGATIVE
semoga acc buat tambah modal kripik istri saya,5,2018-03-03,"['semoga', 'acc', 'modal', 'kripik', 'istri']",moga acc modal kripik istri,semoga acc modal kripik istri,2018-03,POSITIVE,1,0,POSITIVE
semoga selalu diberi kelancaran buat pemilik pengguna apl ini,5,2018-03-12,"['semoga', 'kelancaran', 'pemilik', 'pengguna', 'apl']",moga lancar milik guna apl,semoga kelancaran pemilik pengguna apl,2018-03,POSITIVE,1,0,POSITIVE
daerah sumatera selatan kota palembang masuk payah,1,2018-04-04,"['daerah', 'sumatera', 'selatan', 'kota', 'palembang', 'masuk', 'payah']",daerah sumatera selatan kota palembang masuk payah,daerah sumatera selatan kota palembang masuk payah,2018-04,NEGATIVE,0,1,NEGATIVE
tingkatkan area layanan sampai bandung terima kasih,5,2018-04-21,"['tingkatkan', 'area', 'layanan', 'bandung', 'terima', 'kasih']",tingkat area layan bandung terima kasih,tingkatkan area layanan bandung terima kasih,2018-04,POSITIVE,1,0,POSITIVE
semoga bisa membantu pelayanan saya tunggu kinerjanya mudahan tidak lebih dari hari kerja proses nya,4,2018-04-20,"['semoga', 'membantu', 'pelayanan', 'tunggu', 'kinerjanya', 'mudahan', 'kerja', 'proses', 'nya']",moga bantu layan tunggu kerja mudah kerja proses nya,semoga membantu pelayanan tunggu kinerjanya mudahan kerja proses nya,2018-04,POSITIVE,1,0,POSITIVE
sangat membantu bilang pengajuan saya acc terima kasih informasi dana,5,2018-04-28,"['membantu', 'bilang', 'pengajuan', 'acc', 'terima', 'kasih', 'informasi', 'dana']",bantu bilang aju acc terima kasih informasi dana,membantu bilang pengajuan acc terima kasih informasi dana,2018-04,POSITIVE,1,0,POSITIVE
susah banget masukkan paku password bank nya,1,2018-04-20,"['susah', 'banget', 'masukkan', 'paku', 'password', 'bank', 'nya']",susah banget masuk paku password bank nya,susah banget masukkan paku password bank nya,2018-04,NEGATIVE,0,1,NEGATIVE
aneh dapat sms pengajuan dana lwat tetapi apa bahkan jls tolakan jls,1,2018-04-07,"['aneh', 'sms', 'pengajuan', 'dana', 'lwat', 'jls', 'tolakan', 'jls']",aneh sms aju dana lwat jls tolak jls,aneh sms pengajuan dana lwat jls tolakan jls,2018-04,NEGATIVE,0,1,NEGATIVE
