content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative
mau unggah npwp tetapi gagal terus padahal jaringan bagus,1,2018-01-30,"['unggah', 'npwp', 'gagal', 'jaringan', 'bagus']",unggah npwp gagal jaring bagus,unggah npwp gagal jaringan bagus,2018-01,POSITIVE,0,0
buktikan kalau mudah dan cepat cair nya,5,2018-02-14,"['buktikan', 'mudah', 'cepat', 'cair', 'nya']",bukti mudah cepat cair nya,buktikan mudah cepat cair nya,2018-02,POSITIVE,0,0
pinjaman tumai cepar acc saua sangat senang dengan satu ini maju terus indodana,5,2018-02-17,"['pinjaman', 'tumai', 'cepar', 'acc', 'saua', 'senang', 'maju', 'indodana']",pinjam tuma cepar acc saua senang maju indodana,pinjaman tumai cepar acc saua senang maju indodana,2018-02,POSITIVE,0,0
baru juga masuk sudah dapat pemberitahuan mohon ajukan buln payah,1,2018-02-06,"['masuk', 'pemberitahuan', 'mohon', 'ajukan', 'buln', 'payah']",masuk beri mohon ajuk buln payah,masuk pemberitahuan mohon ajukan buln payah,2018-02,NEGATIVE,0,0
kalau ada internet bangking bagaimana sist aku pakai mobile bangking saja tolong informasi dong,5,2018-02-12,"['internet', 'bangking', 'sist', 'pakai', 'mobile', 'bangking', 'tolong', 'informasi']",internet bangking sist pakai mobile bangking tolong informasi,internet bangking sist pakai mobile bangking tolong informasi,2018-02,NEGATIVE,0,0
sudah lama tunggu acc jung ditolak payah,1,2018-02-01,"['tunggu', 'acc', 'jung', 'ditolak', 'payah']",tunggu acc jung tolak payah,tunggu acc jung ditolak payah,2018-02,NEGATIVE,0,0
sudah mmberikan ana segar untuk kebutuhan saya mrasa terbantu sekali bintang untuk indodana,5,2018-02-26,"['mmberikan', 'ana', 'segar', 'kebutuhan', 'mrasa', 'terbantu', 'bintang', 'indodana']",mmberikan ana segar butuh mrasa bantu bintang indodana,mmberikan ana segar kebutuhan mrasa terbantu bintang indodana,2018-02,POSITIVE,0,0
mundur harus punya internet banking bisa sih pakai itu padahal tertarik sangat,2,2018-02-03,"['mundur', 'internet', 'banking', 'sih', 'pakai', 'tertarik']",mundur internet banking sih pakai tarik,mundur internet banking sih pakai tertarik,2018-02,NEGATIVE,0,0
bintang dahulu soalnya takut area sidoarjo tidak tersedia,3,2018-03-10,"['bintang', 'takut', 'area', 'sidoarjo', 'tersedia']",bintang takut area sidoarjo sedia,bintang takut area sidoarjo tersedia,2018-03,NEGATIVE,0,0
kalau acc past bintang tnggu acc jangan pemberi harapan palsu saja,3,2018-03-08,"['acc', 'past', 'bintang', 'tnggu', 'acc', 'pemberi', 'harapan', 'palsu']",acc past bintang tnggu acc beri harap palsu,acc past bintang tnggu acc pemberi harapan palsu,2018-03,NEGATIVE,0,0
