content,score,reviewCreatedVersion,at
"kalau istirahat liat jam lah, jam segini istirahat, buat org susah aja Tolong di perbaiki min",5,3.98.0,17/06/2024
Saat mau bayar malah apk tdk bs dibuka gara2 hrs pembaruan. Merepotkan sekali.,1,3.98.0,15/06/2024
"Setelah top up saya berhasil, tiba-tiba saya logout dari akun saya, dan sampai detik ini tidak bisa untuk masuk ke akun saya kembali. Saya sudah coba hapus aplikasi dan download ulang, tetapi belum berhasil untuk login ke akun saya kembali. Bahkan akun saya terblokir selama 30 menit. Apa yang harus saya lakukan? Tolong dibantu",1,3.98.0,13/06/2024
"Jelek sekarang, loading sangat lama tidak seperti dulu",1,3.98.0,12/06/2024
"Financenya gangguan, sementara kita mau tarik saham. Gimana ini ovo? Parah banget. Sudah berhari-hari loh",1,3.98.0,02/06/2024
"Tolong dong saya punya ovo, no telfn masih aktif, sedangkan saya login harus verifikasi email dahulu, akan tetapi email saya sudah hilang. Tolong Bantuan nya!!!! Sy udh komplain ga ada respown. #Bantuan",1,3.98.0,26/05/2024
"Customer service ovo sangat buruk dengan pelanggan, tidak ada aksi sama sekali disuruh mengisi formulir berkali2 tiap ada kendala sangat mengecewakan",1,3.98.0,15/05/2024
"Saya pengguna akun ovo di grab , ketika nomor telpon saya yg lama hilang , sangat sulit dan di persulit untuk pengubahan akun nya ., Kurang bagus",1,3.98.0,12/05/2024
Ga jls tiba tiba ada transaksi ga jls pdhal blm di gunakan baru isi saldo besoknya hilang saldonya langsung aku hps apl nie g guna,1,3.98.0,09/05/2024
"Apl korupsi , saldo dri smlm ga masuk' padahal saldo dh kesedot lawak , yang bikin apl gd dana untuk ngembangin",1,3.98.0,09/05/2024
Anda pintar membuat aplikasi tp anda kurang pintar membuat pengguna nyaman. Dibonusin kuota buat pelanggan setia itu lebih berpotensi dari pada point 5/10perak,5,3.98.0,05/05/2024
"Sangat membantu, dan aplikasinya keren.",5,3.98.0,01/05/2024
"Ada pilihan opsi untuk dapatkan kode verifikasi untuk login,jangan hanya via SMS saja",3,3.98.0,27/04/2024
Buruk banget ga bisa selain masalah,1,3.98.0,23/04/2024
Pembayaran andalanku,5,3.98.0,23/04/2024
Parah aku beli Kouta axisnet pembayaran via ovo tgl 11 Maret tp Kouta nya ngk masuk sedangkan pembayaran berhasil + udah dipotong saldonya waktu lapor ke ovo disuruh lapor ke Axis giliran udah lapor ke axis disuruh lapor ke ovo sampe sekarang saldonya ngk balik koutanya jg ga masuk,1,3.98.0,03/04/2024
sangat membantu dalam proses transaksi dimanapun dan kapanpun terimakasih ovo,5,3.98.0,31/03/2024
Apk nya keren bangat,5,3.98.0,31/03/2024
Kenapa siiii banyak loading nya skrg bukn malah makin sat set gt di era banyak nya saingan apk lain 😮‍💨 sampe kapan ke gini,1,3.98.0,29/03/2024
Daerah saya ngga ada di aplikasi,1,3.98.0,29/03/2024
"ribett mau blokir juga,hrus pk perangko,pdhl kan akun saya pribadi,niat ny mau gnt no hp,ehh di peribet,jd malessssss pk ovo.",1,3.98.0,15/03/2024
Masi 1 BLN minta pembaruan apl,1,3.98.0,13/03/2024
"Coba di perbaikin lagi ini,,, saya mau tf ke ovo pun tidak bisa2 ini bos",5,3.98.0,11/03/2024
Keseringan di pembaharui terus. Sebulan bisa 2x pembaharuan 🙄,1,3.98.0,10/03/2024
Mau tf gagal teruuuusss Rugiiiiii...,1,3.98.0,09/03/2024
Tambah parah loading nya mau transaksi susah masuk loading terus proses terus saldo ke potong,1,3.98.0,08/03/2024
"Lebih praktis dalam transaksi, tidak ribet",5,3.98.0,26/02/2024
Cara mengabgret aplksi ke premium sangat susah,5,3.98.0,26/02/2024
